73,11
56,11
33,32
34,33
26,34
83,35
25,36
15,38
30,39
41,42
67,43
29,44
26,45
8,46
12,48
67,49
12,50
12,51
14,52
1,53
1,54
11,56
41,57
11,58
8,60
8,61
12,62
14,63
20,67
77,69
41,70
42,71
11,73
1,74
2,74
37,76
13,77
18,78
15,79
12,81
13,83
32,0
33,0
2,1
24,3
78,3
37,4
47,5
49,5
19,5
72,5
64,5
46,7
8,7
46,8
46,9
10,9
46,10
76,11
68,11
71,11
28,11
26,11
27,11
70,11
52,12
13,12
14,12
52,13
14,13
52,14
55,17
47,19
49,19
72,19
64,19
22,23
59,23
78,24
67,26
66,26
71,26
28,26
27,26
67,27
66,27
71,27
28,27
67,28
66,28
71,28
77,29
82,29
76,29
66,31
33,31
66,33
13,35
37,35
12,35
36,35
40,35
13,36
37,36
12,36
40,36
39,37
79,37
39,38
79,39
13,40
37,40
12,40
42,41
49,47
72,47
64,47
72,49
64,49
52,50
50,51
54,53
22,59
54,60
61,60
62,60
54,61
62,61
54,62
25,62
72,64
69,65
67,65
68,65
69,67
68,67
69,68
67,70
66,70
71,70
28,70
26,70
67,71
66,71
77,76
82,76
82,77
67,80
66,80
71,80
28,80
26,80
6,16
11,29
14,63
15,39
25,54
52,63
12,13
33,34
12,37
14,28
28,41
29,44
32,33
33,34
35,81
40,81
53,76
66,67
68,76
77,82
79,81
3,29
78,29
4,11
5,11
9,10
10,29
15,11
15,29
19,26
21,30
24,29
47,71
49,28
64,70
72,27
75,11
22,67
17,29
16,29
6,29
1,37
1,35
1,40
1,12
2,37
2,35
14,29
67,37
20,37
20,35
23,27
59,27
25,29
30,66
32,37
43,76
42,45
45,52
46,12
57,67
9,67
83,29
78,18
